Date,Open,High,Low,Close,Adj Close,Volume,,,
4/14/2021,9,9.81,8.9,9.35,9.35,51166300,-0.55,,
4/15/2021,9.88,10.23,9.58,9.9,9.9,45198900,0.57,,
4/16/2021,10,10.03,9.09,9.33,9.33,40696700,-0.33,,
4/19/2021,9.48,9.81,9.38,9.66,9.66,32814300,0.38,,
4/20/2021,9.7,9.71,9.01,9.28,9.28,27008900,-0.5,,
4/21/2021,9.25,9.81,9.14,9.78,9.78,23598200,-0.21,,
4/22/2021,9.95,10.65,9.79,9.99,9.99,49923500,-0.17,,
4/23/2021,10.09,10.38,9.96,10.16,10.16,27465600,-1.34,,
4/26/2021,10.69,11.96,10.57,11.5,11.5,78592900,0.04,,
4/27/2021,11.68,12.22,11.22,11.46,11.46,51629800,0.61,,
4/28/2021,10.85,11.39,10.65,10.85,10.85,39720500,0.65,,
4/29/2021,10.95,11.04,10.09,10.2,10.2,37782900,0.17,,
4/30/2021,10.07,10.18,9.88,10.03,10.03,27741000,0.32,,
5/3/2021,10.11,10.12,9.61,9.71,9.71,31251200,0.32,,
5/4/2021,9.63,9.75,9.05,9.39,9.39,35222400,0.22,,
5/5/2021,9.41,9.57,9.08,9.17,9.17,27608700,0.17,,
5/6/2021,9.33,9.4,8.93,9,9,39586300,-0.51,,
5/7/2021,9.32,9.79,9.14,9.51,9.51,38245000,-0.23,,
5/10/2021,9.9,10.15,9.56,9.74,9.74,41015300,-0.31,,
5/11/2021,9.93,10.48,9.6,10.05,10.05,49601000,-0.27,,
5/12/2021,10.03,10.63,10.02,10.32,10.32,54423500,-2.45,,
5/13/2021,10.88,14.2,10.64,12.77,12.77,296525000,-0.21,,
5/14/2021,13.31,14.34,12.57,12.98,12.98,207589900,-0.97,,
5/17/2021,13.67,14.38,13.39,13.95,13.95,158933100,-0.08,,
5/18/2021,14.25,14.67,13.57,14.03,14.03,172488400,1.39,,
5/19/2021,12.95,13.31,12.14,12.64,12.64,89024100,0.09,,
5/20/2021,12.59,12.99,12.03,12.55,12.55,61419700,0.47,,
5/21/2021,12.61,12.84,12.05,12.08,12.08,53937700,-1.6,,
5/24/2021,12.38,13.96,12.17,13.68,13.68,113319200,-2.73,,
5/25/2021,13.61,16.67,13.55,16.41,16.41,213644100,-3.149999,,
5/26/2021,17.76,19.950001,17.26,19.559999,19.559999,379064100,-6.960001,,
5/27/2021,18.610001,29.76,18.309999,26.52,26.52,705545700,0.399999,,
5/28/2021,31.809999,36.720001,24.17,26.120001,26.120001,660623600,-5.92,,
6/1/2021,31.889999,33.529999,28.530001,32.040001,32.040001,508694600,-30.509998,,
6/2/2021,37.52,72.620003,35.59,62.549999,62.549999,766462500,11.209999,,
6/3/2021,58.099998,68.800003,37.66,51.34,51.34,598142200,3.43,,
